root,freq,n_forms,n_suras,n_ayat,PROMINENCE_pctile,morph_resid(living=+/frozen=-),CONCENTRATION_q(sura),signature_sig,classification
نبز,1,1,1,1,10.2,-0.00,0.312,0,ordinary
نبط,1,1,1,1,10.2,-0.00,0.971,0,ordinary
نتق,1,1,1,1,10.1,-0.00,0.917,0,ordinary
نجد,1,1,1,1,10.1,-0.00,0.103,0,ordinary
ثجج,1,1,1,1,10.0,-0.00,0.197,0,ordinary
ثری,1,1,1,1,9.9,-0.00,0.704,0,ordinary
ذکو,1,1,1,1,9.9,-0.00,0.837,0,ordinary
ذیع,1,1,1,1,9.8,-0.00,0.971,0,ordinary
ربح,1,1,1,1,9.8,-0.00,1,0,ordinary
شمءز,1,1,1,1,9.7,-0.00,0.63,0,ordinary
شمت,1,1,1,1,9.6,-0.00,0.907,0,ordinary
شمخ,1,1,1,1,9.6,-0.00,0.228,0,ordinary
شوب,1,1,1,1,9.5,-0.00,0.522,0,ordinary
شوظ,1,1,1,1,9.5,-0.00,0.372,0,ordinary
شعل,1,1,1,1,9.4,-0.00,0.598,0,ordinary
ترق,1,1,1,1,9.3,-0.00,0.166,0,ordinary
نسر,1,1,1,1,9.3,-0.00,0.226,0,ordinary
نجس,1,1,1,1,9.2,-0.00,0.831,0,ordinary
نحب,1,1,1,1,9.2,-0.00,0.709,0,ordinary
نحر,1,1,1,1,9.1,-0.00,0.0243,1,SIGNATURE(local)
نخر,1,1,1,1,9.1,-0.00,0.192,0,ordinary
ندی,1,1,1,1,9.0,-0.00,0.611,0,ordinary
تعس,1,1,1,1,8.9,-0.00,0.408,0,ordinary
تفث,1,1,1,1,8.9,-0.00,0.666,0,ordinary
تقن,1,1,1,1,8.8,-0.00,0.628,0,ordinary
تلل,1,1,1,1,8.8,-0.00,0.539,0,ordinary
تین,1,1,1,1,8.7,-0.00,0.0888,0,ordinary
تیه,1,1,1,1,8.6,-0.00,0.846,0,ordinary
ثبط,1,1,1,1,8.6,-0.00,0.824,0,ordinary
ثبو,1,1,1,1,8.5,-0.00,0.971,0,ordinary
مکک,1,1,1,1,8.5,-0.00,0.435,0,ordinary
نفح,1,1,1,1,8.4,-0.00,0.596,0,ordinary
نضج,1,1,1,1,8.3,-0.00,0.974,0,ordinary
نضخ,1,1,1,1,8.3,-0.00,0.371,0,ordinary
نطح,1,1,1,1,8.2,-0.00,0.856,0,ordinary
بید,1,1,1,1,8.2,-0.00,0.73,0,ordinary
رتق,1,1,1,1,8.1,-0.00,0.587,0,ordinary
رحق,1,1,1,1,8.1,-0.00,0.21,0,ordinary
شتو,1,1,1,1,8.0,-0.00,0.04,1,SIGNATURE(local)
شحم,1,1,1,1,7.9,-0.00,0.881,0,ordinary
شرد,1,1,1,1,7.9,-0.00,0.655,0,ordinary
شرذم,1,1,1,1,7.8,-0.00,0.669,0,ordinary
شرط,1,1,1,1,7.8,-0.00,0.424,0,ordinary
رخو,1,1,1,1,7.7,-0.00,0.466,0,ordinary
ردء,1,1,1,1,7.6,-0.00,0.741,0,ordinary
ردم,1,1,1,1,7.6,-0.00,0.743,0,ordinary
رصص,1,1,1,1,7.5,-0.00,0.226,0,ordinary
نون,1,1,1,1,7.5,-0.00,0.625,0,ordinary
نوی,1,1,1,1,7.4,-0.00,0.889,0,ordinary
نکد,1,1,1,1,7.3,-0.00,0.912,0,ordinary
نفی,1,1,1,1,7.3,-0.00,0.863,0,ordinary
نقع,1,1,1,1,7.2,-0.00,0.0979,0,ordinary
نمرق,1,1,1,1,7.2,-0.00,0.153,0,ordinary
نمم,1,1,1,1,7.1,-0.00,0.25,0,ordinary
نهج,1,1,1,1,7.1,-0.00,0.846,0,ordinary
نوء,1,1,1,1,7.0,-0.00,0.723,0,ordinary
بلی,1,1,1,1,6.9,-0.00,0.708,0,ordinary
بهل,1,1,1,1,6.9,-0.00,0.946,0,ordinary
بکک,1,1,1,1,6.8,-0.00,0.95,0,ordinary
نعق,1,1,1,1,6.8,-0.00,1,0,ordinary
نعل,1,1,1,1,6.7,-0.00,0.7,0,ordinary
نغض,1,1,1,1,6.6,-0.00,0.718,0,ordinary
نفث,1,1,1,1,6.6,-0.00,0.0648,0,ordinary
سوط,1,1,1,1,6.5,-0.00,0.19,0,ordinary
رغم,1,1,1,1,6.5,-0.00,0.971,0,ordinary
بطء,1,1,1,1,6.4,-0.00,0.966,0,ordinary
هجد,1,1,1,1,6.3,-0.00,0.743,0,ordinary
هجع,1,1,1,1,6.3,-0.00,0.357,0,ordinary
هدد,1,1,1,1,6.2,-0.00,0.609,0,ordinary
هدم,1,1,1,1,6.2,-0.00,0.657,0,ordinary
هدهد,1,1,1,1,6.1,-0.00,0.628,0,ordinary
هرب,1,1,1,1,6.1,-0.00,0.266,0,ordinary
هرت,1,1,1,1,6.0,-0.00,1,0,ordinary
بغل,1,1,1,1,5.9,-0.00,0.801,0,ordinary
بقع,1,1,1,1,5.9,-0.00,0.708,0,ordinary
بقل,1,1,1,1,5.8,-0.00,1,0,ordinary
بلع,1,1,1,1,5.8,-0.00,0.797,0,ordinary
نوش,1,1,1,1,5.7,-0.00,0.529,0,ordinary
نوص,1,1,1,1,5.6,-0.00,0.466,0,ordinary
هلع,1,1,1,1,5.6,-0.00,0.219,0,ordinary
