global_rank,root,gloss,freq,n_forms,n_suras,prominence_pctile,living(+)/frozen(-),signature_rank,dom_sura,conc_z,conc_q
959,کور,,3,2,2,43.7,-0.00,,81,1.5,0.211
960,ءلو,,3,3,3,43.6,+0.12,,24,-0.5,0.979
961,ءنف,,3,2,2,43.6,-0.00,,47,-0.2,0.628
962,ستر,,3,3,3,43.5,+0.12,,41,-0.3,0.734
963,سجر,,3,3,3,43.4,+0.12,,81,1.3,0.248
964,سءم,,3,2,2,43.4,-0.00,,41,0.2,0.438
965,زبد,,3,2,1,43.3,-0.00,,13,1.1,0.253
966,بذر,,3,3,1,43.3,+0.12,,17,0.3,0.415
967,شحن,,3,1,3,43.2,-0.18,,36,-0.2,0.64
968,ردف,,3,3,3,43.2,+0.12,,79,0.4,0.364
969,شنء,,3,2,2,43.1,-0.00,21,108,12.5,0.0243
970,شطط,,3,2,3,43.0,-0.00,,72,0.2,0.422
971,هزم,,3,3,3,43.0,+0.12,,54,-0.1,0.566
972,جزء,,3,2,3,42.9,-0.00,,15,-0.2,0.663
973,لهب,,3,1,2,42.9,-0.18,5,111,25.2,0.0243
974,کبت,,3,2,2,42.8,-0.00,,58,0.9,0.219
975,سیح,,3,3,2,42.7,+0.12,,66,0.1,0.424
976,شءم,,3,1,2,42.7,-0.18,,90,3.0,0.186
977,وتد,,3,2,3,42.6,-0.00,,89,1.3,0.238
978,وتر,,3,3,3,42.6,+0.12,,89,0.6,0.279
979,وثن,,3,2,2,42.5,-0.00,,29,0.1,0.485
980,وجس,,3,1,3,42.4,-0.18,,51,-0.1,0.568
981,شکو,,3,3,3,42.4,+0.12,,58,-0.1,0.596
982,شیب,,3,2,3,42.3,-0.00,,73,0.5,0.343
983,صبء,,3,2,3,42.3,-0.00,,22,-0.5,0.971
984,برح,,3,2,3,42.2,-0.00,,20,-0.4,0.856
985,برزخ,,3,2,3,42.2,-0.00,,55,-0.1,0.54
986,صرم,,3,3,1,42.1,+0.12,,68,3.5,0.166
987,صبغ,,3,2,2,42.0,-0.00,,23,-0.5,0.916
988,صبو,,3,2,2,42.0,-0.00,,19,-0.0,0.526
989,صخر,,3,2,3,41.9,-0.00,,89,0.6,0.253
990,ذءب,,3,1,1,41.9,-0.18,,12,0.1,0.478
991,ذرو,,3,3,2,41.8,+0.12,,51,1.1,0.266
992,ذقن,,3,1,2,41.7,-0.18,,36,-0.0,0.557
993,صرصر,,3,2,3,41.7,-0.00,,69,0.5,0.317
994,هطع,,3,1,3,41.6,-0.18,,70,0.7,0.302
995,همز,slander,3,3,3,41.6,+0.12,,104,4.5,0.121
996,سوغ,,3,3,3,41.5,+0.12,,35,-0.2,0.666
997,جلت,,3,1,1,41.4,-0.18,,2,-0.4,0.933
